Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5885.53, 16.5, 138.4, 0.0
0, Eco1064, 31400, 7139.06, 14.9, 176.7, 0.0
0, Eco1072, 24468, 7373.78, 19.6, 185.7, 0.0
0, Eco1078, 43371, 7753.67, 11.5, 165.0, 0.0
0, Eco1083, 29065, 7902.37, 17.5, 164.1, 0.0
0, Eco1090, 17774, 8195.27, 28.3, 172.8, 0.0
0, Eco1102, 28203, 8476.46, 19.3, 165.9, 0.0
0, Eco1133, 32205, 8952.92, 18.7, 176.0, 0.0
0, Eco1226, 23275, 11026.66, 30.4, 234.5, 0.0
0, Eco1441, 19294, 13619.14, 34.3, 295.0, 0.0
0, Eco2036, 20223, 6143.76, 19.0, 132.3, 0.0
0, Eco2064, 44285, 7335.31, 10.8, 177.4, 0.0
0, Eco2072, 19716, 7792.62, 24.8, 164.6, 0.0
0, Eco2078, 29673, 8070.23, 17.2, 166.6, 0.0
0, Eco2083, 40707, 8382.38, 12.7, 163.3, 0.0
0, Eco2090, 19188, 8411.38, 27.0, 179.9, 0.0
0, Eco2102, 26949, 9047.58, 20.0, 161.0, 0.0
0, Eco2133, 29721, 9402.84, 20.4, 176.2, 0.0
0, Eco2226, 18597, 11694.83, 35.6, 252.9, 0.0
0, Eco2441, 21704, 13994.90, 32.5, 305.9, 0.0
0, Eco3036, 44627, 6890.62, 9.4, 129.7, 0.0
0, Eco3064, 49056, 8264.01, 10.6, 156.3, 0.0
0, Eco3072, 78331, 8503.39, 7.0, 161.6, 0.0
0, Eco3078, 18625, 8628.97, 27.8, 157.6, 0.0
0, Eco3083, 29143, 8637.60, 18.8, 163.5, 0.0
0, Eco3090, 21037, 8829.60, 26.7, 162.9, 0.0
0, Eco3102, 15890, 8736.20, 33.6, 163.0, 0.0
0, Eco3133, 13632, 9434.04, 42.0, 171.3, 0.0
0, Eco3226, 16171, 10793.64, 40.3, 212.7, 0.0
0, Eco3441, 19879, 12844.94, 35.9, 270.4, 0.0
0, Eco4036, 172, 5297.89, 143.9, 119.0, 0.0
0, Eco4064, 5858, 7224.22, 52.6, 153.3, 0.0
0, Eco4072, 1440, 7557.19, 120.6, 145.3, 0.0
0, Eco4078, 8585, 8164.55, 39.4, 144.2, 0.0
0, Eco4083, 5379, 8370.67, 61.6, 154.6, 0.0
0, Eco4090, 8814, 8775.20, 38.1, 144.5, 0.0
0, Eco4102, 1170, 9228.79, 102.2, 155.1, 0.0
0, Eco4133, 1827, 10143.06, 98.5, 154.1, 0.0
0, Eco4226, 1350, 10974.90, 167.9, 242.6, 0.0
0, Eco4441, 1535, 14348.29, 121.3, 292.8, 0.0
0, Eco5036, 5365, 6291.98, 53.0, 118.2, 0.0
0, Eco5064, 17414, 7597.69, 26.4, 162.7, 0.0
0, Eco5072, 22086, 8059.58, 21.7, 149.7, 0.0
0, Eco5078, 5818, 7858.17, 65.9, 143.0, 0.0
0, Eco5083, 16741, 8313.42, 29.1, 154.0, 0.0
0, Eco5090, 9068, 8326.53, 47.0, 150.6, 0.0
0, Eco5102, 6144, 8467.46, 69.0, 153.5, 0.0
0, Eco5133, 6362, 9075.37, 72.8, 168.2, 0.0
0, Eco5226, 9544, 10475.78, 61.3, 201.9, 0.0
0, Eco5441, 12230, 13067.91, 52.2, 259.9, 0.0
0, Eco6036, 1953, 5842.52, 94.5, 114.1, 0.0
0, Eco6064, 19530, 6804.71, 21.2, 182.0, 0.0
