Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5866.98, 16.5, 139.3, 0.0
0, Eco1064, 31400, 7140.56, 14.9, 176.1, 0.0
0, Eco1072, 24468, 7385.62, 19.6, 185.3, 0.0
0, Eco1078, 43371, 7757.83, 11.5, 165.1, 0.0
0, Eco1083, 29065, 7900.24, 17.5, 164.5, 0.0
0, Eco1090, 17774, 8194.62, 28.3, 172.6, 0.0
0, Eco1102, 28203, 8478.23, 19.3, 166.3, 0.0
0, Eco1133, 32205, 8950.62, 18.7, 176.2, 0.0
0, Eco1226, 23275, 11014.89, 30.4, 234.3, 0.0
0, Eco1441, 19294, 13622.25, 34.3, 295.2, 0.0
0, Eco2036, 20223, 6143.00, 19.0, 132.3, 0.0
0, Eco2064, 44285, 7334.94, 10.8, 177.4, 0.0
0, Eco2072, 19716, 7792.57, 24.8, 163.6, 0.0
0, Eco2078, 29673, 8065.28, 17.2, 167.1, 0.0
0, Eco2083, 40707, 8371.13, 12.7, 163.7, 0.0
0, Eco2090, 19188, 8396.68, 27.0, 179.4, 0.0
0, Eco2102, 26949, 9062.98, 20.0, 159.7, 0.0
0, Eco2133, 29721, 9411.82, 20.4, 175.2, 0.0
0, Eco2226, 18597, 11668.87, 35.6, 253.8, 0.0
0, Eco2441, 21704, 13980.40, 32.5, 306.4, 0.0
0, Eco3036, 44627, 6885.90, 9.4, 129.7, 0.0
0, Eco3064, 49056, 8266.36, 10.6, 156.5, 0.0
0, Eco3072, 78331, 8494.38, 7.0, 162.5, 0.0
0, Eco3078, 18625, 8624.83, 27.8, 157.5, 0.0
0, Eco3083, 29143, 8635.50, 18.8, 163.9, 0.0
0, Eco3090, 21037, 8835.37, 26.7, 163.8, 0.0
0, Eco3102, 15890, 8732.40, 33.6, 163.2, 0.0
0, Eco3133, 13632, 9447.40, 42.0, 171.1, 0.0
0, Eco3226, 16171, 10778.06, 40.3, 214.4, 0.0
0, Eco3441, 19879, 12848.32, 35.9, 270.5, 0.0
0, Eco4036, 172, 5246.74, 143.9, 119.7, 0.0
0, Eco4064, 5858, 7202.32, 52.6, 154.5, 0.0
0, Eco4072, 1440, 7521.88, 120.6, 148.4, 0.0
0, Eco4078, 8585, 8145.11, 39.4, 145.9, 0.0
0, Eco4083, 5379, 8370.67, 61.6, 154.0, 0.0
0, Eco4090, 8814, 8780.99, 38.1, 143.0, 0.0
0, Eco4102, 1170, 9173.97, 102.2, 158.8, 0.0
0, Eco4133, 1827, 10144.67, 98.5, 154.5, 0.0
0, Eco4226, 1350, 10994.53, 167.9, 244.7, 0.0
0, Eco4441, 1535, 14352.16, 121.3, 293.2, 0.0
0, Eco5036, 5365, 6303.47, 53.0, 117.7, 0.0
0, Eco5064, 17414, 7623.61, 26.4, 161.0, 0.0
0, Eco5072, 22086, 8065.89, 21.7, 148.5, 0.0
0, Eco5078, 5818, 7869.58, 65.9, 142.1, 0.0
0, Eco5083, 16741, 8323.54, 29.1, 152.4, 0.0
0, Eco5090, 9068, 8325.75, 47.0, 150.0, 0.0
0, Eco5102, 6144, 8467.76, 69.0, 154.0, 0.0
0, Eco5133, 6362, 9069.64, 72.8, 168.8, 0.0
0, Eco5226, 9544, 10475.36, 61.3, 202.1, 0.0
0, Eco5441, 12230, 13076.51, 52.2, 259.5, 0.0
0, Eco6036, 1953, 5812.31, 94.5, 116.2, 0.0
0, Eco6064, 19530, 6794.45, 21.2, 182.3, 0.0
0, Eco6072, 3503, 7648.57, 91.2, 153.4, 0.0
0, Eco6078, 14236, 8059.42, 29.4, 153.0, 0.0
0, Eco6083, 15891, 8309.47, 29.7, 157.0, 0.0
0, Eco6090, 11750, 8084.98, 40.6, 183.3, 0.0
0, Eco6102, 3467, 8815.80, 78.1, 159.5, 0.0
0, Eco6133, 3842, 9201.49, 94.0, 178.9, 0.0
0, Eco6226, 3656, 12289.62, 101.7, 258.1, 0.0
0, Eco6441, 4316, 14415.54, 65.3, 322.3, 0.0
0, Eco7036, 1102, 6231.69, 112.1, 117.0, 0.0
0, Eco7064, 1986, 6652.44, 103.6, 157.0, 0.0
0, Eco7072, 753, 7339.80, 150.0, 154.5, 0.0
0, Eco7078, 1858, 7504.20, 115.0, 164.7, 0.0
