Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5884.32, 16.5, 138.2, 0.0
0, Eco1064, 31400, 7136.42, 14.9, 176.3, 0.0
0, Eco1072, 24468, 7380.58, 19.6, 185.0, 0.0
0, Eco1078, 43371, 7752.76, 11.5, 165.3, 0.0
0, Eco1083, 29065, 7910.36, 17.5, 163.7, 0.0
0, Eco1090, 17774, 8187.46, 28.3, 172.5, 0.0
0, Eco1102, 28203, 8479.46, 19.3, 165.8, 0.0
0, Eco1133, 32205, 8950.86, 18.7, 175.7, 0.0
0, Eco1226, 23275, 11028.97, 30.4, 234.1, 0.0
0, Eco1441, 19294, 13642.09, 34.3, 293.9, 0.0
0, Eco2036, 20223, 6140.09, 19.0, 132.3, 0.0
0, Eco2064, 44285, 7333.33, 10.8, 177.4, 0.0
0, Eco2072, 19716, 7792.93, 24.8, 164.3, 0.0
0, Eco2078, 29673, 8069.17, 17.2, 167.2, 0.0
0, Eco2083, 40707, 8368.89, 12.7, 163.7, 0.0
0, Eco2090, 19188, 8424.31, 27.0, 178.2, 0.0
0, Eco2102, 26949, 9053.00, 20.0, 159.6, 0.0
0, Eco2133, 29721, 9409.68, 20.4, 175.2, 0.0
0, Eco2226, 18597, 11691.89, 35.6, 252.8, 0.0
0, Eco2441, 21704, 13958.70, 32.5, 307.3, 0.0
0, Eco3036, 44627, 6873.02, 9.4, 130.1, 0.0
0, Eco3064, 49056, 8267.73, 10.6, 156.7, 0.0
0, Eco3072, 78331, 8498.26, 7.0, 161.9, 0.0
0, Eco3078, 18625, 8639.52, 27.8, 157.5, 0.0
0, Eco3083, 29143, 8644.44, 18.8, 163.1, 0.0
0, Eco3090, 21037, 8828.87, 26.7, 163.3, 0.0
0, Eco3102, 15890, 8733.02, 33.6, 163.2, 0.0
0, Eco3133, 13632, 9438.83, 42.0, 171.5, 0.0
0, Eco3226, 16171, 10791.64, 40.3, 213.0, 0.0
0, Eco3441, 19879, 12841.47, 35.9, 270.6, 0.0
0, Eco4036, 172, 5292.95, 143.9, 118.5, 0.0
0, Eco4064, 5858, 7248.66, 52.6, 151.8, 0.0
0, Eco4072, 1440, 7523.06, 120.6, 147.4, 0.0
0, Eco4078, 8585, 8157.02, 39.4, 145.0, 0.0
0, Eco4083, 5379, 8385.24, 61.6, 155.2, 0.0
0, Eco4090, 8814, 8754.45, 38.1, 144.3, 0.0
0, Eco4102, 1170, 9176.83, 102.2, 158.0, 0.0
0, Eco4133, 1827, 10148.55, 98.5, 153.1, 0.0
0, Eco4226, 1350, 10954.74, 167.9, 241.2, 0.0
0, Eco4441, 1535, 14316.35, 121.3, 293.8, 0.0
0, Eco5036, 5365, 6307.58, 53.0, 116.8, 0.0
0, Eco5064, 17414, 7601.02, 26.4, 162.4, 0.0
0, Eco5072, 22086, 8066.88, 21.7, 149.1, 0.0
0, Eco5078, 5818, 7883.66, 65.9, 142.1, 0.0
0, Eco5083, 16741, 8319.24, 29.1, 154.2, 0.0
