Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5912.10, 16.5, 136.0, 0.0
0, Eco1064, 31400, 7185.14, 14.9, 172.8, 0.0
0, Eco1072, 24468, 7436.30, 19.6, 182.1, 0.0
0, Eco1078, 43371, 7764.42, 11.5, 164.1, 0.0
0, Eco1083, 29065, 7943.79, 17.5, 161.5, 0.0
0, Eco1090, 17774, 8201.96, 28.3, 172.0, 0.0
0, Eco1102, 28203, 8501.78, 19.3, 164.1, 0.0
0, Eco1133, 32205, 8972.98, 18.7, 174.9, 0.0
0, Eco1226, 23275, 11063.15, 30.4, 231.9, 0.0
0, Eco1441, 19294, 13655.05, 34.3, 293.5, 0.0
0, Eco2036, 20223, 6182.56, 19.0, 128.9, 0.0
0, Eco2064, 44285, 7401.92, 10.8, 173.2, 0.0
0, Eco2072, 19716, 7836.31, 24.8, 161.0, 0.0
0, Eco2078, 29673, 8100.54, 17.2, 165.6, 0.0
0, Eco2083, 40707, 8412.67, 12.7, 161.5, 0.0
0, Eco2090, 19188, 8432.00, 27.0, 178.1, 0.0
0, Eco2102, 26949, 9086.02, 20.0, 158.2, 0.0
0, Eco2133, 29721, 9438.02, 20.4, 173.6, 0.0
0, Eco2226, 18597, 11749.73, 35.6, 249.8, 0.0
0, Eco2441, 21704, 14001.23, 32.5, 305.4, 0.0
0, Eco3036, 44627, 6932.03, 9.4, 126.6, 0.0
0, Eco3064, 49056, 8328.30, 10.6, 152.5, 0.0
0, Eco3072, 78331, 8535.62, 7.0, 160.1, 0.0
0, Eco3078, 18625, 8685.43, 27.8, 154.7, 0.0
0, Eco3083, 29143, 8660.92, 18.8, 162.1, 0.0
0, Eco3090, 21037, 8865.15, 26.7, 161.5, 0.0
0, Eco3102, 15890, 8776.76, 33.6, 160.0, 0.0
0, Eco3133, 13632, 9486.97, 42.0, 167.7, 0.0
0, Eco3226, 16171, 10830.24, 40.3, 210.6, 0.0
0, Eco3441, 19879, 12869.22, 35.9, 269.2, 0.0
0, Eco4036, 172, 5238.64, 143.9, 120.6, 0.0
0, Eco4064, 5858, 7201.51, 52.6, 155.6, 0.0
0, Eco4072, 1440, 7560.77, 120.6, 146.5, 0.0
0, Eco4078, 8585, 8159.83, 39.4, 144.8, 0.0
0, Eco4083, 5379, 8365.93, 61.6, 154.0, 0.0
0, Eco4090, 8814, 8760.92, 38.1, 147.4, 0.0
0, Eco4102, 1170, 9212.68, 102.2, 157.2, 0.0
0, Eco4133, 1827, 10118.38, 98.5, 157.0, 0.0
0, Eco4226, 1350, 11066.23, 167.9, 240.2, 0.0
0, Eco4441, 1535, 14349.61, 121.3, 294.6, 0.0
0, Eco5036, 5365, 6321.00, 53.0, 116.3, 0.0
0, Eco5064, 17414, 7660.80, 26.4, 158.8, 0.0
0, Eco5072, 22086, 8087.95, 21.7, 147.8, 0.0
0, Eco5078, 5818, 7873.60, 65.9, 142.3, 0.0
0, Eco5083, 16741, 8354.32, 29.1, 150.9, 0.0
0, Eco5090, 9068, 8343.70, 47.0, 149.0, 0.0
0, Eco5102, 6144, 8497.27, 69.0, 152.4, 0.0
0, Eco5133, 6362, 9088.46, 72.8, 166.7, 0.0
0, Eco5226, 9544, 10515.18, 61.3, 200.6, 0.0
0, Eco5441, 12230, 13060.06, 52.2, 260.0, 0.0
0, Eco6036, 1953, 5801.00, 94.5, 116.7, 0.0
0, Eco6064, 19530, 6811.54, 21.2, 181.3, 0.0
0, Eco6072, 3503, 7644.49, 91.2, 153.7, 0.0
0, Eco6078, 14236, 8045.11, 29.4, 154.1, 0.0
0, Eco6083, 15891, 8322.97, 29.7, 154.9, 0.0
0, Eco6090, 11750, 8074.01, 40.6, 184.0, 0.0
0, Eco6102, 3467, 8789.32, 78.1, 160.8, 0.0
0, Eco6133, 3842, 9264.81, 94.0, 175.5, 0.0
0, Eco6226, 3656, 12329.49, 101.7, 257.5, 0.0
0, Eco6441, 4316, 14441.81, 65.3, 321.1, 0.0
0, Eco7036, 1102, 6318.14, 112.1, 111.0, 0.0
0, Eco7064, 1986, 6627.97, 103.6, 159.7, 0.0
0, Eco7072, 753, 7550.72, 150.0, 143.4, 0.0
0, Eco7078, 1858, 7630.80, 115.0, 158.1, 0.0
0, Eco7083, 5910, 7726.49, 64.4, 175.4, 0.0
0, Eco7090, 3331, 8035.67, 87.0, 168.6, 0.0
0, Eco7102, 1901, 8292.39, 103.6, 169.9, 0.0
0, Eco7133, 630, 8260.75, 199.6, 172.5, 0.0
0, Eco7226, 2045, 9855.38, 130.3, 214.6, 0.0
0, Eco7441, 4476, 13952.48, 55.1, 347.5, 0.0
0, Eco8036, 17977, 6590.21, 20.6, 170.0, 0.0
0, Eco8064, 10918, 7996.34, 37.0, 197.5, 0.0
0, Eco8072, 8063, 8135.26, 49.3, 192.3, 0.0
0, Eco8078, 13638, 8704.19, 33.7, 175.7, 0.0
0, Eco8083, 7632, 8683.52, 54.2, 179.9, 0.0
0, Eco8090, 6986, 8854.83, 56.8, 169.7, 0.0
0, Eco8102, 26798, 9372.67, 20.1, 178.1, 0.0
0, Eco8133, 23312, 10007.40, 25.5, 195.4, 0.0
0, Eco8226, 21104, 11667.90, 33.3, 239.9, 0.0
0, Eco8441, 14858, 14692.34, 35.2, 310.3, 0.0
0, Eco9036, 1765, 6739.99, 104.2, 124.0, 0.0
0, Eco9064, 1412, 7995.26, 137.7, 149.3, 0.0
0, Eco9072, 987, 8874.32, 151.9, 148.9, 0.0
0, Eco9078, 1527, 8632.27, 125.3, 164.8, 0.0
0, Eco9083, 1367, 9570.65, 139.7, 169.8, 0.0
0, Eco9090, 502, 9042.78, 211.4, 165.9, 0.0
0, Eco9102, 3213, 9687.81, 102.3, 173.8, 0.0
0, Eco9133, 4533, 10229.48, 83.3, 185.8, 0.0
0, Eco9226, 1082, 12439.25, 166.2, 245.5, 0.0
0, Eco9441, 1896, 14561.94, 96.2, 337.5, 0.0
5, Eco1036, 22976, 7426.41, 247.4, 149.1, 0.0
5, Eco1064, 31400, 9051.11, 307.0, 192.1, 0.0
