Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5915.59, 16.5, 136.2, 0.0
0, Eco1064, 31400, 7186.66, 14.9, 173.5, 0.0
0, Eco1072, 24468, 7426.81, 19.6, 182.8, 0.0
0, Eco1078, 43371, 7759.62, 11.5, 164.1, 0.0
0, Eco1083, 29065, 7929.74, 17.5, 162.6, 0.0
0, Eco1090, 17774, 8203.13, 28.3, 172.1, 0.0
0, Eco1102, 28203, 8495.04, 19.3, 164.4, 0.0
0, Eco1133, 32205, 8982.99, 18.7, 173.9, 0.0
0, Eco1226, 23275, 11082.69, 30.4, 231.2, 0.0
0, Eco1441, 19294, 13664.42, 34.3, 292.8, 0.0
0, Eco2036, 20223, 6174.93, 19.0, 129.6, 0.0
0, Eco2064, 44285, 7403.94, 10.8, 172.7, 0.0
0, Eco2072, 19716, 7853.76, 24.8, 160.6, 0.0
0, Eco2078, 29673, 8101.15, 17.2, 165.1, 0.0
0, Eco2083, 40707, 8410.41, 12.7, 160.9, 0.0
0, Eco2090, 19188, 8403.49, 27.0, 179.4, 0.0
0, Eco2102, 26949, 9088.37, 20.0, 157.5, 0.0
0, Eco2133, 29721, 9441.20, 20.4, 173.7, 0.0
0, Eco2226, 18597, 11764.44, 35.6, 248.8, 0.0
0, Eco2441, 21704, 14008.48, 32.5, 305.4, 0.0
0, Eco3036, 44627, 6929.31, 9.4, 126.7, 0.0
0, Eco3064, 49056, 8328.06, 10.6, 152.9, 0.0
0, Eco3072, 78331, 8541.25, 7.0, 159.4, 0.0
0, Eco3078, 18625, 8686.04, 27.8, 154.9, 0.0
0, Eco3083, 29143, 8676.99, 18.8, 161.0, 0.0
0, Eco3090, 21037, 8854.94, 26.7, 162.0, 0.0
0, Eco3102, 15890, 8771.99, 33.6, 161.6, 0.0
0, Eco3133, 13632, 9475.70, 42.0, 168.9, 0.0
0, Eco3226, 16171, 10815.96, 40.3, 211.6, 0.0
0, Eco3441, 19879, 12872.85, 35.9, 268.9, 0.0
0, Eco4036, 172, 5271.75, 143.9, 117.5, 0.0
0, Eco4064, 5858, 7207.00, 52.6, 154.6, 0.0
0, Eco4072, 1440, 7535.24, 120.6, 147.5, 0.0
0, Eco4078, 8585, 8151.75, 39.4, 146.3, 0.0
0, Eco4083, 5379, 8359.34, 61.6, 153.3, 0.0
0, Eco4090, 8814, 8765.94, 38.1, 145.6, 0.0
0, Eco4102, 1170, 9150.13, 102.2, 164.3, 0.0
0, Eco4133, 1827, 10105.60, 98.5, 159.9, 0.0
0, Eco4226, 1350, 10986.24, 167.9, 243.9, 0.0
0, Eco4441, 1535, 14321.53, 121.3, 294.3, 0.0
0, Eco5036, 5365, 6317.81, 53.0, 116.5, 0.0
0, Eco5064, 17414, 7661.11, 26.4, 158.4, 0.0
0, Eco5072, 22086, 8101.91, 21.7, 146.3, 0.0
0, Eco5078, 5818, 7889.50, 65.9, 141.2, 0.0
0, Eco5083, 16741, 8352.75, 29.1, 151.5, 0.0
0, Eco5090, 9068, 8343.86, 47.0, 149.9, 0.0
0, Eco5102, 6144, 8490.02, 69.0, 153.0, 0.0
0, Eco5133, 6362, 9084.58, 72.8, 167.1, 0.0
0, Eco5226, 9544, 10503.06, 61.3, 200.7, 0.0
0, Eco5441, 12230, 13094.00, 52.2, 258.2, 0.0
0, Eco6036, 1953, 5813.93, 94.5, 116.2, 0.0
0, Eco6064, 19530, 6824.17, 21.2, 180.9, 0.0
0, Eco6072, 3503, 7638.51, 91.2, 154.7, 0.0
0, Eco6078, 14236, 8050.50, 29.4, 153.9, 0.0
