Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5911.76, 16.5, 136.2, 0.0
0, Eco1064, 31400, 7167.48, 14.9, 174.0, 0.0
0, Eco1072, 24468, 7416.24, 19.6, 183.2, 0.0
0, Eco1078, 43371, 7769.53, 11.5, 164.5, 0.0
0, Eco1083, 29065, 7938.71, 17.5, 162.0, 0.0
0, Eco1090, 17774, 8211.99, 28.3, 171.8, 0.0
0, Eco1102, 28203, 8492.60, 19.3, 164.4, 0.0
0, Eco1133, 32205, 8983.15, 18.7, 174.3, 0.0
0, Eco1226, 23275, 11059.60, 30.4, 232.0, 0.0
0, Eco1441, 19294, 13669.23, 34.3, 293.1, 0.0
0, Eco2036, 20223, 6163.43, 19.0, 130.8, 0.0
0, Eco2064, 44285, 7399.77, 10.8, 172.8, 0.0
0, Eco2072, 19716, 7810.69, 24.8, 162.5, 0.0
0, Eco2078, 29673, 8086.26, 17.2, 166.5, 0.0
0, Eco2083, 40707, 8413.50, 12.7, 161.1, 0.0
0, Eco2090, 19188, 8436.72, 27.0, 178.0, 0.0
0, Eco2102, 26949, 9084.64, 20.0, 158.7, 0.0
0, Eco2133, 29721, 9449.13, 20.4, 173.2, 0.0
0, Eco2226, 18597, 11757.98, 35.6, 249.1, 0.0
0, Eco2441, 21704, 14011.52, 32.5, 304.9, 0.0
0, Eco3036, 44627, 6931.46, 9.4, 126.9, 0.0
0, Eco3064, 49056, 8328.45, 10.6, 152.6, 0.0
0, Eco3072, 78331, 8541.24, 7.0, 160.0, 0.0
0, Eco3078, 18625, 8682.17, 27.8, 155.0, 0.0
0, Eco3083, 29143, 8671.04, 18.8, 161.4, 0.0
0, Eco3090, 21037, 8851.28, 26.7, 161.6, 0.0
0, Eco3102, 15890, 8763.28, 33.6, 161.5, 0.0
0, Eco3133, 13632, 9481.41, 42.0, 168.6, 0.0
0, Eco3226, 16171, 10831.25, 40.3, 210.9, 0.0
0, Eco3441, 19879, 12881.04, 35.9, 268.7, 0.0
0, Eco4036, 172, 5235.80, 143.9, 121.4, 0.0
0, Eco4064, 5858, 7227.41, 52.6, 153.1, 0.0
0, Eco4072, 1440, 7522.13, 120.6, 148.2, 0.0
0, Eco4078, 8585, 8146.13, 39.4, 147.0, 0.0
0, Eco4083, 5379, 8365.12, 61.6, 154.6, 0.0
0, Eco4090, 8814, 8771.84, 38.1, 146.0, 0.0
0, Eco4102, 1170, 9228.26, 102.2, 154.2, 0.0
0, Eco4133, 1827, 10106.70, 98.5, 156.6, 0.0
0, Eco4226, 1350, 11000.37, 167.9, 245.2, 0.0
0, Eco4441, 1535, 14311.83, 121.3, 294.5, 0.0
0, Eco5036, 5365, 6317.08, 53.0, 117.7, 0.0
