Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 6010.70, 16.5, 133.7, 0.0
0, Eco1064, 31400, 7288.84, 14.9, 170.4, 0.0
0, Eco1072, 24468, 7511.78, 19.6, 180.6, 0.0
0, Eco1078, 43371, 7868.24, 11.5, 161.1, 0.0
0, Eco1083, 29065, 8054.51, 17.5, 158.1, 0.0
0, Eco1090, 17774, 8227.01, 28.3, 170.5, 0.0
0, Eco1102, 28203, 8612.97, 19.3, 160.3, 0.0
0, Eco1133, 32205, 9048.73, 18.7, 172.0, 0.0
0, Eco1226, 23275, 11131.35, 30.4, 229.9, 0.0
0, Eco1441, 19294, 13795.31, 34.3, 288.6, 0.0
0, Eco2036, 20223, 6290.24, 19.0, 125.9, 0.0
0, Eco2064, 44285, 7549.44, 10.8, 169.2, 0.0
0, Eco2072, 19716, 7888.10, 24.8, 160.7, 0.0
0, Eco2078, 29673, 8213.05, 17.2, 161.2, 0.0
0, Eco2083, 40707, 8513.67, 12.7, 157.5, 0.0
0, Eco2090, 19188, 8471.08, 27.0, 176.6, 0.0
0, Eco2102, 26949, 9105.78, 20.0, 158.2, 0.0
0, Eco2133, 29721, 9490.57, 20.4, 172.3, 0.0
0, Eco2226, 18597, 11825.64, 35.6, 248.3, 0.0
0, Eco2441, 21704, 14135.84, 32.5, 301.5, 0.0
0, Eco3036, 44627, 6907.50, 9.4, 129.2, 0.0
0, Eco3064, 49056, 8333.14, 10.6, 154.0, 0.0
0, Eco3072, 78331, 8550.09, 7.0, 160.2, 0.0
0, Eco3078, 18625, 8733.61, 27.8, 154.2, 0.0
0, Eco3083, 29143, 8708.10, 18.8, 161.2, 0.0
0, Eco3090, 21037, 8852.74, 26.7, 162.7, 0.0
0, Eco3102, 15890, 8807.92, 33.6, 160.5, 0.0
0, Eco3133, 13632, 9524.68, 42.0, 167.6, 0.0
0, Eco3226, 16171, 10891.31, 40.3, 209.5, 0.0
0, Eco3441, 19879, 12994.90, 35.9, 265.2, 0.0
0, Eco4036, 172, 5170.72, 143.9, 117.7, 0.0
0, Eco4064, 5858, 7288.27, 52.6, 150.5, 0.0
0, Eco4072, 1440, 7391.65, 120.6, 153.6, 0.0
0, Eco4078, 8585, 8198.58, 39.4, 143.8, 0.0
0, Eco4083, 5379, 8411.08, 61.6, 153.3, 0.0
0, Eco4090, 8814, 8772.86, 38.1, 145.0, 0.0
0, Eco4102, 1170, 9362.03, 102.2, 149.0, 0.0
0, Eco4133, 1827, 10132.35, 98.5, 156.1, 0.0
0, Eco4226, 1350, 10799.45, 167.9, 248.1, 0.0
0, Eco4441, 1535, 14645.71, 121.3, 281.1, 0.0
0, Eco5036, 5365, 6410.24, 53.0, 113.8, 0.0
0, Eco5064, 17414, 7813.58, 26.4, 154.2, 0.0
0, Eco5072, 22086, 8152.02, 21.7, 145.9, 0.0
0, Eco5078, 5818, 7983.35, 65.9, 139.9, 0.0
0, Eco5083, 16741, 8403.50, 29.1, 151.1, 0.0
0, Eco5090, 9068, 8434.04, 47.0, 147.4, 0.0
0, Eco5102, 6144, 8649.55, 69.0, 148.4, 0.0
0, Eco5133, 6362, 9202.06, 72.8, 163.9, 0.0
0, Eco5226, 9544, 10654.30, 61.3, 195.9, 0.0
0, Eco5441, 12230, 13183.36, 52.2, 256.0, 0.0
0, Eco6036, 1953, 5824.56, 94.5, 115.8, 0.0
0, Eco6064, 19530, 6930.67, 21.2, 176.4, 0.0
0, Eco6072, 3503, 7706.21, 91.2, 152.3, 0.0
0, Eco6078, 14236, 8104.45, 29.4, 152.6, 0.0
0, Eco6083, 15891, 8332.60, 29.7, 153.7, 0.0
0, Eco6090, 11750, 8116.37, 40.6, 180.6, 0.0
0, Eco6102, 3467, 8949.72, 78.1, 154.2, 0.0
0, Eco6133, 3842, 9305.29, 94.0, 175.4, 0.0
0, Eco6226, 3656, 12396.07, 101.7, 256.7, 0.0
0, Eco6441, 4316, 14397.90, 65.3, 325.6, 0.0
0, Eco7036, 1102, 6397.24, 112.1, 112.5, 0.0
0, Eco7064, 1986, 6888.12, 103.6, 149.9, 0.0
0, Eco7072, 753, 7625.93, 150.0, 141.8, 0.0
0, Eco7078, 1858, 7678.55, 115.0, 155.3, 0.0
0, Eco7083, 5910, 7986.26, 64.4, 165.3, 0.0
0, Eco7090, 3331, 8075.37, 87.0, 168.5, 0.0
0, Eco7102, 1901, 8279.71, 103.6, 172.9, 0.0
0, Eco7133, 630, 8520.00, 199.6, 163.3, 0.0
0, Eco7226, 2045, 9988.53, 130.3, 208.8, 0.0
0, Eco7441, 4476, 14028.39, 55.1, 345.4, 0.0
0, Eco8036, 17977, 6534.19, 20.6, 175.4, 0.0
0, Eco8064, 10918, 8008.90, 37.0, 199.0, 0.0
0, Eco8072, 8063, 8219.21, 49.3, 191.8, 0.0
0, Eco8078, 13638, 8770.66, 33.7, 175.5, 0.0
0, Eco8083, 7632, 8735.09, 54.2, 180.4, 0.0
0, Eco8090, 6986, 8862.24, 56.8, 171.9, 0.0
0, Eco8102, 26798, 9349.55, 20.1, 179.4, 0.0
0, Eco8133, 23312, 10003.62, 25.5, 195.4, 0.0
0, Eco8226, 21104, 11720.41, 33.3, 238.7, 0.0
0, Eco8441, 14858, 14583.20, 35.2, 318.5, 0.0
0, Eco9036, 1765, 6758.47, 104.2, 123.6, 0.0
0, Eco9064, 1412, 7833.83, 137.7, 162.8, 0.0
0, Eco9072, 987, 8870.55, 151.9, 151.6, 0.0
0, Eco9078, 1527, 8416.45, 125.3, 174.1, 0.0
0, Eco9083, 1367, 9361.97, 139.7, 180.8, 0.0
0, Eco9090, 502, 8701.05, 211.4, 184.4, 0.0
0, Eco9102, 3213, 9578.04, 102.3, 180.5, 0.0
0, Eco9133, 4533, 10069.89, 83.3, 194.5, 0.0
0, Eco9226, 1082, 12249.00, 166.2, 258.5, 0.0
0, Eco9441, 1896, 14373.54, 96.2, 349.8, 0.0
5, Eco1036, 22976, 7528.15, 248.9, 149.7, 0.0
5, Eco1064, 31400, 9164.24, 308.8, 192.8, 0.0
5, Eco1072, 24468, 9473.66, 318.9, 198.5, 0.0
5, Eco1078, 43371, 9930.55, 323.2, 186.7, 0.0
5, Eco1083, 29065, 10157.26, 328.4, 184.6, 0.0
5, Eco1090, 17774, 10351.38, 339.5, 193.6, 0.0
5, Eco1102, 28203, 10867.99, 346.4, 191.6, 0.0
5, Eco1133, 32205, 11472.89, 377.3, 207.9, 0.0
5, Eco1226, 23275, 14041.67, 482.7, 275.3, 0.0
5, Eco1441, 19294, 16963.34, 579.5, 335.2, 0.0
5, Eco2036, 20223, 7833.28, 243.9, 143.7, 0.0
5, Eco2064, 44285, 9408.39, 303.9, 192.3, 0.0
5, Eco2072, 19716, 9821.70, 308.4, 184.0, 0.0
5, Eco2078, 29673, 10171.57, 316.5, 187.7, 0.0
5, Eco2083, 40707, 10544.08, 316.4, 184.5, 0.0
5, Eco2090, 19188, 10555.19, 326.6, 195.1, 0.0
5, Eco2102, 26949, 11336.52, 331.2, 182.8, 0.0
5, Eco2133, 29721, 11826.56, 365.8, 205.0, 0.0
5, Eco2226, 18597, 14729.44, 487.1, 289.3, 0.0
5, Eco2441, 21704, 17419.36, 591.2, 344.2, 0.0
5, Eco3036, 44627, 8473.91, 271.4, 145.0, 0.0
5, Eco3064, 49056, 10287.43, 325.4, 172.9, 0.0
5, Eco3072, 78331, 10573.23, 335.1, 181.0, 0.0
5, Eco3078, 18625, 10786.66, 341.6, 178.1, 0.0
5, Eco3083, 29143, 10815.00, 347.9, 183.0, 0.0
5, Eco3090, 21037, 10999.79, 357.9, 186.6, 0.0
5, Eco3102, 15890, 11087.76, 357.2, 184.9, 0.0
5, Eco3133, 13632, 11866.79, 392.2, 201.9, 0.0
5, Eco3226, 16171, 13796.78, 478.8, 254.3, 0.0
5, Eco3441, 19879, 16340.41, 580.9, 319.3, 0.0
5, Eco4036, 172, 6530.44, 207.3, 124.6, 0.0
5, Eco4064, 5858, 8953.59, 277.1, 174.9, 0.0
5, Eco4072, 1440, 9122.27, 274.3, 161.3, 0.0
5, Eco4078, 8585, 9992.12, 283.3, 163.0, 0.0
5, Eco4083, 5379, 10218.38, 286.7, 168.2, 0.0
5, Eco4090, 8814, 10626.52, 290.2, 162.5, 0.0
5, Eco4102, 1170, 11418.20, 313.4, 175.2, 0.0
5, Eco4133, 1827, 12239.45, 324.7, 179.7, 0.0
5, Eco4226, 1350, 13531.18, 416.2, 243.4, 0.0
5, Eco4441, 1535, 17823.09, 560.9, 342.4, 0.0
5, Eco5036, 5365, 7881.57, 243.2, 129.7, 0.0
5, Eco5064, 17414, 9668.05, 302.8, 173.6, 0.0
5, Eco5072, 22086, 10072.27, 304.2, 164.4, 0.0
5, Eco5078, 5818, 9939.77, 312.9, 163.4, 0.0
5, Eco5083, 16741, 10359.22, 321.9, 175.3, 0.0
5, Eco5090, 9068, 10486.51, 329.5, 171.8, 0.0
5, Eco5102, 6144, 10722.26, 340.2, 178.2, 0.0
5, Eco5133, 6362, 11356.78, 371.1, 199.2, 0.0
5, Eco5226, 9544, 13461.29, 456.6, 244.3, 0.0
5, Eco5441, 12230, 16386.90, 564.4, 312.4, 0.0
5, Eco6036, 1953, 7381.50, 237.5, 136.2, 0.0
5, Eco6064, 19530, 8728.37, 308.2, 203.6, 0.0
5, Eco6072, 3503, 9587.45, 304.8, 178.1, 0.0
5, Eco6078, 14236, 10073.52, 307.3, 175.5, 0.0
5, Eco6083, 15891, 10348.74, 306.6, 175.5, 0.0
5, Eco6090, 11750, 10143.06, 322.8, 193.7, 0.0
5, Eco6102, 3467, 11216.08, 320.7, 174.4, 0.0
5, Eco6133, 3842, 11745.00, 357.9, 199.6, 0.0
5, Eco6226, 3656, 15304.67, 497.8, 299.5, 0.0
5, Eco6441, 4316, 17675.24, 591.7, 359.7, 0.0
5, Eco7036, 1102, 7775.95, 244.9, 128.5, 0.0
5, Eco7064, 1986, 8631.00, 292.3, 168.7, 0.0
5, Eco7072, 753, 9549.86, 311.9, 168.0, 0.0
5, Eco7078, 1858, 9516.43, 314.0, 169.0, 0.0
5, Eco7083, 5910, 9885.47, 331.8, 186.7, 0.0
5, Eco7090, 3331, 9992.04, 334.6, 181.6, 0.0
5, Eco7102, 1901, 10273.09, 343.1, 186.4, 0.0
5, Eco7133, 630, 10739.36, 384.0, 205.0, 0.0
5, Eco7226, 2045, 12737.78, 462.9, 248.7, 0.0
5, Eco7441, 4476, 17104.82, 599.4, 355.5, 0.0
5, Eco8036, 17977, 8143.86, 274.4, 187.8, 0.0
5, Eco8064, 10918, 10040.91, 325.5, 216.9, 0.0
5, Eco8072, 8063, 10358.68, 340.4, 218.4, 0.0
5, Eco8078, 13638, 10999.22, 348.5, 207.9, 0.0
5, Eco8083, 7632, 11028.22, 353.8, 207.1, 0.0
5, Eco8090, 6986, 11211.04, 354.4, 200.6, 0.0
5, Eco8102, 26798, 11746.84, 376.5, 211.2, 0.0
5, Eco8133, 23312, 12620.72, 415.4, 235.2, 0.0
5, Eco8226, 21104, 14788.19, 511.8, 293.9, 0.0
5, Eco8441, 14858, 17803.99, 613.3, 363.6, 0.0
