Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 6004.78, 16.5, 133.7, 0.0
0, Eco1064, 31400, 7282.49, 14.9, 171.0, 0.0
0, Eco1072, 24468, 7536.61, 19.6, 179.2, 0.0
0, Eco1078, 43371, 7866.85, 11.5, 161.1, 0.0
0, Eco1083, 29065, 8047.70, 17.5, 158.5, 0.0
0, Eco1090, 17774, 8219.16, 28.3, 171.4, 0.0
0, Eco1102, 28203, 8610.53, 19.3, 160.6, 0.0
0, Eco1133, 32205, 9047.47, 18.7, 172.2, 0.0
0, Eco1226, 23275, 11140.88, 30.4, 229.5, 0.0
0, Eco1441, 19294, 13738.53, 34.3, 290.4, 0.0
0, Eco2036, 20223, 6283.78, 19.0, 126.9, 0.0
0, Eco2064, 44285, 7542.18, 10.8, 169.5, 0.0
0, Eco2072, 19716, 7899.95, 24.8, 160.4, 0.0
0, Eco2078, 29673, 8229.86, 17.2, 160.2, 0.0
0, Eco2083, 40707, 8493.66, 12.7, 159.3, 0.0
0, Eco2090, 19188, 8473.70, 27.0, 177.2, 0.0
0, Eco2102, 26949, 9096.43, 20.0, 158.0, 0.0
0, Eco2133, 29721, 9482.36, 20.4, 172.3, 0.0
0, Eco2226, 18597, 11845.13, 35.6, 247.2, 0.0
0, Eco2441, 21704, 14148.61, 32.5, 300.7, 0.0
0, Eco3036, 44627, 6903.87, 9.4, 129.4, 0.0
0, Eco3064, 49056, 8336.70, 10.6, 154.2, 0.0
0, Eco3072, 78331, 8536.28, 7.0, 161.4, 0.0
0, Eco3078, 18625, 8725.78, 27.8, 154.9, 0.0
0, Eco3083, 29143, 8721.92, 18.8, 160.2, 0.0
0, Eco3090, 21037, 8826.01, 26.7, 163.5, 0.0
0, Eco3102, 15890, 8824.83, 33.6, 159.9, 0.0
0, Eco3133, 13632, 9529.64, 42.0, 166.8, 0.0
0, Eco3226, 16171, 10910.37, 40.3, 209.0, 0.0
0, Eco3441, 19879, 13002.05, 35.9, 264.7, 0.0
0, Eco4036, 172, 5198.68, 143.9, 118.0, 0.0
0, Eco4064, 5858, 7306.06, 52.6, 151.5, 0.0
0, Eco4072, 1440, 7432.54, 120.6, 148.5, 0.0
0, Eco4078, 8585, 8148.60, 39.4, 146.3, 0.0
0, Eco4083, 5379, 8445.66, 61.6, 150.8, 0.0
0, Eco4090, 8814, 8729.30, 38.1, 146.0, 0.0
0, Eco4102, 1170, 9314.42, 102.2, 154.3, 0.0
0, Eco4133, 1827, 10119.89, 98.5, 155.3, 0.0
0, Eco4226, 1350, 10777.31, 167.9, 247.3, 0.0
0, Eco4441, 1535, 14618.61, 121.3, 282.9, 0.0
0, Eco5036, 5365, 6423.92, 53.0, 113.0, 0.0
0, Eco5064, 17414, 7814.81, 26.4, 154.6, 0.0
0, Eco5072, 22086, 8156.45, 21.7, 145.4, 0.0
0, Eco5078, 5818, 7947.42, 65.9, 141.1, 0.0
0, Eco5083, 16741, 8390.98, 29.1, 151.5, 0.0
0, Eco5090, 9068, 8446.96, 47.0, 147.2, 0.0
0, Eco5102, 6144, 8644.91, 69.0, 148.5, 0.0
0, Eco5133, 6362, 9209.88, 72.8, 163.5, 0.0
0, Eco5226, 9544, 10638.82, 61.3, 196.6, 0.0
0, Eco5441, 12230, 13178.94, 52.2, 256.3, 0.0
0, Eco6036, 1953, 5848.16, 94.5, 114.3, 0.0
0, Eco6064, 19530, 6942.03, 21.2, 176.1, 0.0
0, Eco6072, 3503, 7706.47, 91.2, 152.1, 0.0
0, Eco6078, 14236, 8107.47, 29.4, 151.1, 0.0
0, Eco6083, 15891, 8362.62, 29.7, 151.7, 0.0
0, Eco6090, 11750, 8130.62, 40.6, 181.0, 0.0
0, Eco6102, 3467, 8950.25, 78.1, 154.0, 0.0
