Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 6012.95, 16.5, 133.5, 0.0
0, Eco1064, 31400, 7279.38, 14.9, 170.7, 0.0
0, Eco1072, 24468, 7543.59, 19.6, 178.8, 0.0
0, Eco1078, 43371, 7850.25, 11.5, 161.2, 0.0
0, Eco1083, 29065, 8028.91, 17.5, 159.4, 0.0
0, Eco1090, 17774, 8211.33, 28.3, 171.9, 0.0
0, Eco1102, 28203, 8603.22, 19.3, 160.5, 0.0
0, Eco1133, 32205, 9054.13, 18.7, 171.7, 0.0
0, Eco1226, 23275, 11161.91, 30.4, 228.1, 0.0
0, Eco1441, 19294, 13785.57, 34.3, 288.8, 0.0
0, Eco2036, 20223, 6281.69, 19.0, 126.5, 0.0
0, Eco2064, 44285, 7526.81, 10.8, 170.7, 0.0
0, Eco2072, 19716, 7896.35, 24.8, 160.4, 0.0
0, Eco2078, 29673, 8225.79, 17.2, 160.3, 0.0
0, Eco2083, 40707, 8492.87, 12.7, 159.1, 0.0
0, Eco2090, 19188, 8486.80, 27.0, 176.9, 0.0
0, Eco2102, 26949, 9103.93, 20.0, 157.9, 0.0
0, Eco2133, 29721, 9479.21, 20.4, 172.8, 0.0
0, Eco2226, 18597, 11849.35, 35.6, 247.5, 0.0
0, Eco2441, 21704, 14177.84, 32.5, 299.3, 0.0
0, Eco3036, 44627, 6913.47, 9.4, 129.5, 0.0
0, Eco3064, 49056, 8342.76, 10.6, 153.9, 0.0
0, Eco3072, 78331, 8558.83, 7.0, 159.9, 0.0
0, Eco3078, 18625, 8714.86, 27.8, 155.0, 0.0
0, Eco3083, 29143, 8726.24, 18.8, 160.8, 0.0
0, Eco3090, 21037, 8857.60, 26.7, 162.1, 0.0
0, Eco3102, 15890, 8813.26, 33.6, 160.4, 0.0
0, Eco3133, 13632, 9536.10, 42.0, 167.8, 0.0
0, Eco3226, 16171, 10897.37, 40.3, 209.2, 0.0
0, Eco3441, 19879, 12999.83, 35.9, 264.7, 0.0
0, Eco4036, 172, 5292.53, 143.9, 115.4, 0.0
0, Eco4064, 5858, 7297.48, 52.6, 150.4, 0.0
0, Eco4072, 1440, 7436.33, 120.6, 150.9, 0.0
0, Eco4078, 8585, 8195.79, 39.4, 142.7, 0.0
0, Eco4083, 5379, 8389.38, 61.6, 152.4, 0.0
0, Eco4090, 8814, 8733.75, 38.1, 145.7, 0.0
0, Eco4102, 1170, 9348.30, 102.2, 151.3, 0.0
