Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5884.80, 16.5, 138.5, 0.0
0, Eco1064, 31400, 7143.53, 14.9, 176.0, 0.0
0, Eco1072, 24468, 7388.62, 19.6, 184.8, 0.0
0, Eco1078, 43371, 7745.94, 11.5, 165.6, 0.0
0, Eco1083, 29065, 7896.71, 17.5, 164.3, 0.0
0, Eco1090, 17774, 8190.48, 28.3, 173.1, 0.0
0, Eco1102, 28203, 8463.00, 19.3, 166.2, 0.0
0, Eco1133, 32205, 8954.71, 18.7, 175.8, 0.0
0, Eco1226, 23275, 11017.69, 30.4, 233.9, 0.0
0, Eco1441, 19294, 13660.80, 34.3, 293.0, 0.0
0, Eco2036, 20223, 6133.91, 19.0, 132.3, 0.0
0, Eco2064, 44285, 7337.59, 10.8, 176.7, 0.0
0, Eco2072, 19716, 7786.73, 24.8, 164.7, 0.0
0, Eco2078, 29673, 8063.50, 17.2, 166.7, 0.0
0, Eco2083, 40707, 8370.61, 12.7, 163.5, 0.0
0, Eco2090, 19188, 8383.80, 27.0, 179.2, 0.0
0, Eco2102, 26949, 9065.49, 20.0, 158.4, 0.0
0, Eco2133, 29721, 9416.23, 20.4, 175.0, 0.0
0, Eco2226, 18597, 11689.01, 35.6, 253.0, 0.0
0, Eco2441, 21704, 13949.58, 32.5, 308.0, 0.0
0, Eco3036, 44627, 6887.84, 9.4, 130.1, 0.0
0, Eco3064, 49056, 8263.93, 10.6, 156.7, 0.0
0, Eco3072, 78331, 8504.07, 7.0, 161.6, 0.0
0, Eco3078, 18625, 8635.17, 27.8, 157.9, 0.0
0, Eco3083, 29143, 8627.63, 18.8, 164.0, 0.0
0, Eco3090, 21037, 8816.76, 26.7, 164.4, 0.0
0, Eco3102, 15890, 8734.92, 33.6, 163.7, 0.0
0, Eco3133, 13632, 9448.91, 42.0, 169.7, 0.0
0, Eco3226, 16171, 10784.54, 40.3, 214.1, 0.0
0, Eco3441, 19879, 12845.94, 35.9, 270.3, 0.0
0, Eco4036, 172, 5243.02, 143.9, 120.3, 0.0
0, Eco4064, 5858, 7191.64, 52.6, 156.2, 0.0
0, Eco4072, 1440, 7556.06, 120.6, 145.6, 0.0
0, Eco4078, 8585, 8159.55, 39.4, 145.7, 0.0
0, Eco4083, 5379, 8357.90, 61.6, 154.4, 0.0
0, Eco4090, 8814, 8777.81, 38.1, 144.3, 0.0
0, Eco4102, 1170, 9177.96, 102.2, 158.9, 0.0
0, Eco4133, 1827, 10147.52, 98.5, 154.4, 0.0
0, Eco4226, 1350, 11030.18, 167.9, 241.0, 0.0
0, Eco4441, 1535, 14365.64, 121.3, 293.0, 0.0
0, Eco5036, 5365, 6292.47, 53.0, 118.6, 0.0
0, Eco5064, 17414, 7608.55, 26.4, 161.1, 0.0
0, Eco5072, 22086, 8064.59, 21.7, 149.0, 0.0
0, Eco5078, 5818, 7859.59, 65.9, 143.2, 0.0
0, Eco5083, 16741, 8310.41, 29.1, 154.3, 0.0
0, Eco5090, 9068, 8315.07, 47.0, 151.1, 0.0
0, Eco5102, 6144, 8470.37, 69.0, 154.2, 0.0
0, Eco5133, 6362, 9064.63, 72.8, 169.3, 0.0
0, Eco5226, 9544, 10482.87, 61.3, 201.5, 0.0
0, Eco5441, 12230, 13069.04, 52.2, 260.0, 0.0
0, Eco6036, 1953, 5835.98, 94.5, 114.4, 0.0
0, Eco6064, 19530, 6801.58, 21.2, 182.2, 0.0
0, Eco6072, 3503, 7648.26, 91.2, 154.0, 0.0
0, Eco6078, 14236, 8035.66, 29.4, 154.6, 0.0
0, Eco6083, 15891, 8323.47, 29.7, 155.4, 0.0
0, Eco6090, 11750, 8087.41, 40.6, 183.0, 0.0
0, Eco6102, 3467, 8829.34, 78.1, 158.6, 0.0
0, Eco6133, 3842, 9276.20, 94.0, 173.3, 0.0
0, Eco6226, 3656, 12324.39, 101.7, 257.1, 0.0
0, Eco6441, 4316, 14442.47, 65.3, 320.2, 0.0
0, Eco7036, 1102, 6225.64, 112.1, 116.8, 0.0
0, Eco7064, 1986, 6649.11, 103.6, 157.9, 0.0
0, Eco7072, 753, 7378.16, 150.0, 154.2, 0.0
0, Eco7078, 1858, 7545.91, 115.0, 161.6, 0.0
0, Eco7083, 5910, 7687.96, 64.4, 177.7, 0.0
0, Eco7090, 3331, 8010.97, 87.0, 170.1, 0.0
0, Eco7102, 1901, 8172.94, 103.6, 177.1, 0.0
0, Eco7133, 630, 8238.05, 199.6, 172.6, 0.0
0, Eco7226, 2045, 9765.54, 130.3, 217.9, 0.0
0, Eco7441, 4476, 13779.90, 55.1, 354.9, 0.0
0, Eco8036, 17977, 6477.97, 20.6, 177.5, 0.0
0, Eco8064, 10918, 7925.89, 37.0, 202.3, 0.0
0, Eco8072, 8063, 8035.91, 49.3, 197.2, 0.0
0, Eco8078, 13638, 8599.81, 33.7, 181.3, 0.0
0, Eco8083, 7632, 8591.16, 54.2, 185.3, 0.0
0, Eco8090, 6986, 8763.17, 56.8, 175.6, 0.0
0, Eco8102, 26798, 9315.30, 20.1, 180.6, 0.0
0, Eco8133, 23312, 9968.23, 25.5, 197.5, 0.0
