Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5887.21, 16.5, 138.4, 0.0
0, Eco1064, 31400, 7130.46, 14.9, 176.6, 0.0
0, Eco1072, 24468, 7371.42, 19.6, 185.5, 0.0
0, Eco1078, 43371, 7748.02, 11.5, 165.4, 0.0
0, Eco1083, 29065, 7895.58, 17.5, 164.0, 0.0
0, Eco1090, 17774, 8177.83, 28.3, 173.4, 0.0
0, Eco1102, 28203, 8475.95, 19.3, 165.8, 0.0
0, Eco1133, 32205, 8947.32, 18.7, 176.1, 0.0
0, Eco1226, 23275, 11026.38, 30.4, 233.9, 0.0
0, Eco1441, 19294, 13642.82, 34.3, 294.0, 0.0
0, Eco2036, 20223, 6145.49, 19.0, 131.5, 0.0
0, Eco2064, 44285, 7334.28, 10.8, 176.9, 0.0
0, Eco2072, 19716, 7782.20, 24.8, 164.5, 0.0
0, Eco2078, 29673, 8064.77, 17.2, 167.2, 0.0
0, Eco2083, 40707, 8372.03, 12.7, 163.4, 0.0
0, Eco2090, 19188, 8394.61, 27.0, 179.5, 0.0
0, Eco2102, 26949, 9062.46, 20.0, 159.3, 0.0
0, Eco2133, 29721, 9406.90, 20.4, 175.8, 0.0
0, Eco2226, 18597, 11677.19, 35.6, 253.7, 0.0
0, Eco2441, 21704, 13975.31, 32.5, 306.6, 0.0
0, Eco3036, 44627, 6892.08, 9.4, 129.9, 0.0
0, Eco3064, 49056, 8266.90, 10.6, 156.2, 0.0
0, Eco3072, 78331, 8498.94, 7.0, 161.8, 0.0
0, Eco3078, 18625, 8650.39, 27.8, 156.7, 0.0
0, Eco3083, 29143, 8637.34, 18.8, 163.1, 0.0
0, Eco3090, 21037, 8837.19, 26.7, 162.6, 0.0
0, Eco3102, 15890, 8731.95, 33.6, 163.9, 0.0
0, Eco3133, 13632, 9438.44, 42.0, 171.4, 0.0
0, Eco3226, 16171, 10789.02, 40.3, 213.5, 0.0
0, Eco3441, 19879, 12825.60, 35.9, 271.0, 0.0
0, Eco4036, 172, 5234.90, 143.9, 121.6, 0.0
0, Eco4064, 5858, 7190.98, 52.6, 154.4, 0.0
0, Eco4072, 1440, 7537.51, 120.6, 147.4, 0.0
0, Eco4078, 8585, 8154.58, 39.4, 145.7, 0.0
0, Eco4083, 5379, 8387.69, 61.6, 153.7, 0.0
0, Eco4090, 8814, 8766.21, 38.1, 146.8, 0.0
0, Eco4102, 1170, 9174.10, 102.2, 161.8, 0.0
0, Eco4133, 1827, 10128.55, 98.5, 155.7, 0.0
0, Eco4226, 1350, 11020.86, 167.9, 240.9, 0.0
0, Eco4441, 1535, 14335.87, 121.3, 294.1, 0.0
0, Eco5036, 5365, 6302.75, 53.0, 117.2, 0.0
0, Eco5064, 17414, 7587.96, 26.4, 162.6, 0.0
0, Eco5072, 22086, 8068.96, 21.7, 149.4, 0.0
0, Eco5078, 5818, 7864.36, 65.9, 142.9, 0.0
0, Eco5083, 16741, 8316.29, 29.1, 153.8, 0.0
0, Eco5090, 9068, 8324.10, 47.0, 150.9, 0.0
0, Eco5102, 6144, 8468.88, 69.0, 154.1, 0.0
0, Eco5133, 6362, 9058.51, 72.8, 169.4, 0.0
0, Eco5226, 9544, 10480.42, 61.3, 202.5, 0.0
0, Eco5441, 12230, 13044.31, 52.2, 261.0, 0.0
0, Eco6036, 1953, 5819.94, 94.5, 114.9, 0.0
0, Eco6064, 19530, 6793.60, 21.2, 182.9, 0.0
0, Eco6072, 3503, 7608.01, 91.2, 155.6, 0.0
0, Eco6078, 14236, 8046.35, 29.4, 154.3, 0.0
0, Eco6083, 15891, 8311.22, 29.7, 156.7, 0.0
0, Eco6090, 11750, 8059.77, 40.6, 184.1, 0.0
0, Eco6102, 3467, 8829.53, 78.1, 158.4, 0.0
0, Eco6133, 3842, 9247.90, 94.0, 176.9, 0.0
0, Eco6226, 3656, 12292.61, 101.7, 258.8, 0.0
0, Eco6441, 4316, 14224.44, 65.3, 330.1, 0.0
0, Eco7036, 1102, 6224.36, 112.1, 118.0, 0.0
0, Eco7064, 1986, 6649.33, 103.6, 157.9, 0.0
0, Eco7072, 753, 7343.95, 150.0, 156.0, 0.0
0, Eco7078, 1858, 7549.83, 115.0, 161.4, 0.0
0, Eco7083, 5910, 7697.77, 64.4, 177.0, 0.0
0, Eco7090, 3331, 8037.28, 87.0, 167.0, 0.0
0, Eco7102, 1901, 8184.07, 103.6, 176.6, 0.0
0, Eco7133, 630, 8223.46, 199.6, 173.5, 0.0
0, Eco7226, 2045, 9675.80, 130.3, 222.4, 0.0
0, Eco7441, 4476, 13963.03, 55.1, 347.6, 0.0
0, Eco8036, 17977, 6498.65, 20.6, 177.0, 0.0
0, Eco8064, 10918, 7938.82, 37.0, 200.9, 0.0
0, Eco8072, 8063, 8040.72, 49.3, 197.4, 0.0
0, Eco8078, 13638, 8610.90, 33.7, 181.1, 0.0
0, Eco8083, 7632, 8624.61, 54.2, 183.6, 0.0
0, Eco8090, 6986, 8780.32, 56.8, 174.1, 0.0
0, Eco8102, 26798, 9326.22, 20.1, 180.1, 0.0
0, Eco8133, 23312, 9979.47, 25.5, 196.9, 0.0
0, Eco8226, 21104, 11594.27, 33.3, 243.7, 0.0
0, Eco8441, 14858, 14547.10, 35.2, 318.2, 0.0
0, Eco9036, 1765, 6577.93, 104.2, 132.7, 0.0
0, Eco9064, 1412, 7693.57, 137.7, 167.2, 0.0
0, Eco9072, 987, 8854.54, 151.9, 150.3, 0.0
0, Eco9078, 1527, 8423.56, 125.3, 176.2, 0.0
0, Eco9083, 1367, 9403.68, 139.7, 177.0, 0.0
0, Eco9090, 502, 8716.63, 211.4, 184.7, 0.0
0, Eco9102, 3213, 9542.17, 102.3, 182.8, 0.0
0, Eco9133, 4533, 10051.16, 83.3, 195.2, 0.0
0, Eco9226, 1082, 12376.77, 166.2, 249.7, 0.0
0, Eco9441, 1896, 14438.82, 96.2, 343.2, 0.0
5, Eco1036, 22976, 7081.09, 183.1, 134.6, 0.0
5, Eco1064, 31400, 8540.76, 218.2, 169.2, 0.0
5, Eco1072, 24468, 8831.61, 224.4, 173.1, 0.0
5, Eco1078, 43371, 9271.85, 227.4, 161.9, 0.0
5, Eco1083, 29065, 9449.88, 228.4, 158.6, 0.0
5, Eco1090, 17774, 9754.54, 231.5, 164.0, 0.0
5, Eco1102, 28203, 10128.52, 249.3, 165.9, 0.0
5, Eco1133, 32205, 10709.12, 280.6, 180.8, 0.0
5, Eco1226, 23275, 13087.34, 387.8, 247.1, 0.0
5, Eco1441, 19294, 16133.93, 498.3, 319.2, 0.0
5, Eco2036, 20223, 7383.84, 181.2, 127.8, 0.0
5, Eco2064, 44285, 8778.80, 213.9, 166.7, 0.0
5, Eco2072, 19716, 9295.30, 220.3, 159.4, 0.0
5, Eco2078, 29673, 9609.87, 226.0, 162.0, 0.0
5, Eco2083, 40707, 9973.93, 234.3, 161.2, 0.0
5, Eco2090, 19188, 10006.67, 234.2, 168.2, 0.0
5, Eco2102, 26949, 10811.89, 246.5, 158.6, 0.0
5, Eco2133, 29721, 11224.18, 279.5, 178.8, 0.0
5, Eco2226, 18597, 13715.51, 395.6, 257.5, 0.0
5, Eco2441, 21704, 16531.45, 508.9, 323.8, 0.0
5, Eco3036, 44627, 8258.30, 219.1, 137.3, 0.0
5, Eco3064, 49056, 9971.85, 269.4, 166.7, 0.0
5, Eco3072, 78331, 10253.65, 275.7, 173.3, 0.0
5, Eco3078, 18625, 10426.76, 279.6, 169.0, 0.0
5, Eco3083, 29143, 10448.70, 282.9, 172.8, 0.0
5, Eco3090, 21037, 10663.27, 292.3, 176.0, 0.0
5, Eco3102, 15890, 10627.17, 299.0, 175.5, 0.0
5, Eco3133, 13632, 11413.89, 327.6, 188.6, 0.0
5, Eco3226, 16171, 13074.63, 428.6, 242.6, 0.0
5, Eco3441, 19879, 15512.14, 537.3, 310.3, 0.0
5, Eco4036, 172, 6422.38, 167.3, 117.9, 0.0
5, Eco4064, 5858, 8637.54, 213.4, 161.0, 0.0
5, Eco4072, 1440, 9067.52, 220.8, 149.7, 0.0
5, Eco4078, 8585, 9737.08, 221.0, 147.7, 0.0
5, Eco4083, 5379, 9958.45, 221.3, 151.5, 0.0
5, Eco4090, 8814, 10382.95, 224.9, 145.4, 0.0
