Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1036, 22976, 5886.04, 16.5, 138.1, 0.0
0, Eco1064, 31400, 7117.94, 14.9, 177.1, 0.0
0, Eco1072, 24468, 7380.51, 19.6, 185.4, 0.0
0, Eco1078, 43371, 7749.20, 11.5, 165.2, 0.0
0, Eco1083, 29065, 7901.53, 17.5, 164.0, 0.0
0, Eco1090, 17774, 8192.33, 28.3, 172.7, 0.0
0, Eco1102, 28203, 8477.09, 19.3, 165.9, 0.0
0, Eco1133, 32205, 8960.60, 18.7, 175.5, 0.0
0, Eco1226, 23275, 11028.26, 30.4, 234.1, 0.0
0, Eco1441, 19294, 13623.50, 34.3, 295.0, 0.0
0, Eco2036, 20223, 6139.01, 19.0, 132.5, 0.0
0, Eco2064, 44285, 7344.44, 10.8, 176.7, 0.0
0, Eco2072, 19716, 7793.32, 24.8, 163.9, 0.0
0, Eco2078, 29673, 8062.35, 17.2, 168.0, 0.0
0, Eco2083, 40707, 8377.97, 12.7, 163.4, 0.0
0, Eco2090, 19188, 8410.63, 27.0, 179.1, 0.0
0, Eco2102, 26949, 9049.28, 20.0, 160.9, 0.0
0, Eco2133, 29721, 9413.11, 20.4, 175.3, 0.0
0, Eco2226, 18597, 11673.95, 35.6, 253.2, 0.0
0, Eco2441, 21704, 13974.60, 32.5, 307.2, 0.0
0, Eco3036, 44627, 6892.13, 9.4, 129.9, 0.0
0, Eco3064, 49056, 8264.20, 10.6, 156.7, 0.0
0, Eco3072, 78331, 8502.03, 7.0, 161.6, 0.0
0, Eco3078, 18625, 8626.76, 27.8, 157.5, 0.0
0, Eco3083, 29143, 8640.80, 18.8, 163.8, 0.0
0, Eco3090, 21037, 8834.00, 26.7, 163.5, 0.0
0, Eco3102, 15890, 8737.68, 33.6, 162.9, 0.0
0, Eco3133, 13632, 9441.75, 42.0, 171.2, 0.0
0, Eco3226, 16171, 10796.56, 40.3, 212.6, 0.0
0, Eco3441, 19879, 12828.92, 35.9, 271.3, 0.0
0, Eco4036, 172, 5220.01, 143.9, 122.0, 0.0
0, Eco4064, 5858, 7191.94, 52.6, 154.6, 0.0
0, Eco4072, 1440, 7541.91, 120.6, 146.4, 0.0
0, Eco4078, 8585, 8152.25, 39.4, 144.8, 0.0
0, Eco4083, 5379, 8357.78, 61.6, 154.8, 0.0
0, Eco4090, 8814, 8765.44, 38.1, 145.3, 0.0
0, Eco4102, 1170, 9016.49, 102.2, 160.6, 0.0
0, Eco4133, 1827, 10122.33, 98.5, 157.6, 0.0
0, Eco4226, 1350, 11018.41, 167.9, 244.1, 0.0
0, Eco4441, 1535, 14337.63, 121.3, 293.4, 0.0
0, Eco5036, 5365, 6314.86, 53.0, 116.3, 0.0
0, Eco5064, 17414, 7610.67, 26.4, 161.3, 0.0
0, Eco5072, 22086, 8066.29, 21.7, 149.2, 0.0
0, Eco5078, 5818, 7859.61, 65.9, 143.9, 0.0
0, Eco5083, 16741, 8328.80, 29.1, 152.8, 0.0
0, Eco5090, 9068, 8304.93, 47.0, 151.4, 0.0
0, Eco5102, 6144, 8459.35, 69.0, 154.8, 0.0
0, Eco5133, 6362, 9068.74, 72.8, 168.9, 0.0
0, Eco5226, 9544, 10480.65, 61.3, 202.1, 0.0
0, Eco5441, 12230, 13085.32, 52.2, 259.2, 0.0
0, Eco6036, 1953, 5825.91, 94.5, 115.9, 0.0
0, Eco6064, 19530, 6812.92, 21.2, 181.6, 0.0
0, Eco6072, 3503, 7644.92, 91.2, 153.7, 0.0
0, Eco6078, 14236, 8044.93, 29.4, 154.7, 0.0
0, Eco6083, 15891, 8319.79, 29.7, 156.1, 0.0
